--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  4801027382 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.02835.15                    4398.38-         0.845 MALITD       26.06.2018 20.1
  4801027395 /    5  ECAP  800000     103254     DXC TECHNOLOGY AUSTRALIA PTY LTD    P PKC.03350.01                       5.33-         0.030 MALITD       20.12.2018 15.1
  4801027453 /    1  ECAP  800000     103276     ALLFAB CONSTRUCTIONS PTY LTD        P PKC.03276.04                    4961.81-         0.000 MA9GART1     23.01.2018 10.1
  4801027486 /    1  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03284.20.001                 345.00-         3.000 QAMIKD       28.02.2018 25.1
  4801027486 /    2  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03284.20.001                2530.00-         0.000 MAZOUM       31.01.2019 21.1
  4801027487 /    2  ECAP  800000     103887     METTLER TOLEDO LTD                  P PKC.03357.40.010                 107.07-         0.001              31.08.2018 28.0
  4801027509 /    2  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03285.04                     575.00-         0.000 MAZOUM       31.01.2019 31.1
  4801027510 /    3  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03286.02                     230.00-         2.000 MAZOUM       31.05.2018 27.0
  4801027510 /    4  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03286.02                    4025.00-         0.000 MAZOUM       31.12.2018 28.0
  4801027510 /    5  ECAP  800000     114992     PATCHEM ENGINEERING                 P PKC.03286.02                    6210.00-         0.000 MAZOUM       31.01.2019 29.0
  4801027574 /    1  ECAP  800000     101801     COMPLETE HYDRAULIC SERVICES         P PKC.03211.08                     784.00-         1.000 MAJOVA       07.05.2018 30.1
  4801027624 /    2  ECAP  800000     104607     HAYCO ENGINEERING                   P PKC.03193.30.003                 420.00-         3.000 MAGUEL       29.06.2018 01.1
  4801027714 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03338.12.001                  61.55-         0.001 MADIDS       12.10.2018 22.1
  4801027721 /    1  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03286.02                     517.50-         4.500 QAMIKD       09.02.2018 29.1
  4801027770 /    2  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03209.40.010.10             3123.11-         0.229 MAKIOJ       28.03.2018 26.0
  4801027802 /    1  ECAP  800000     112414     KLONDU GROUP PTY LTD                P PKC.03277.03                   99313.60-         0.200 MAROBP       10.10.2018 05.1
  4801027804 /   12  ECAP  800000     103282     SOTO GROUP PTY LTD                  P PKC.03293.99                   20115.00-         1.000 MAROBP       30.01.2019 30.1
  4801027839 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03265.03.001                8277.53-         0.087 QAOVER       30.03.2018 22.0
  4801027855 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                  122385.11-    122385.110 MABRAB1      30.07.2018 30.0
  4801027855 /    2  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                   19177.76-         1.000 MABRAB1      12.02.2019 04.1
  4801027855 /    3  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                   26804.50-         1.000 MABRAB1      12.02.2019 04.1
  4801027873 /    1  ECAP  800000     103282     SOTO GROUP PTY LTD                  P PKC.03236.02.001.02               26.30-         0.002 MA9BURB      28.03.2018 19.0
  4801027881 /    2  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03206.04.003                 778.80-         1.000 MAFAUM       28.02.2018 09.0
  4801027933 /    1  ECAP  800000     114851     PACIFIC RAIL ENGINEERING PTY LTD    P PKC.03367.03                   92122.00-         2.000 MAROBP       20.03.2018 04.0
  4801027937 /    4  ECAP  800000     112571     APEX AUTOMATION & ROBOTICS PTY LTD  P PKC.03368.02.002               40968.00-         0.400              19.02.2019 19.1
  4801027987 /    1  ECAP  800000     103946     ARROW ELECTRICAL SERVICES           P PKC.03271.03                     240.00-         2.000 CUGALYP9     08.05.2018 31.0
  4801027987 /    2  ECAP  800000     103946     ARROW ELECTRICAL SERVICES           P PKC.03271.03                     190.00-         5.000 CUGALYP9     08.05.2018 31.0
  4801028009 /    2  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03194.20.020.60              691.20-         0.030 MAKIOJ       28.06.2018 30.0
  4801028046 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03382.01.003.01               36.66-         0.001 QAOVER       20.06.2018 19.0
  4801028116 /    1  ECAP  800000     113908     CONCEPT ENGINEERING SERVICES PTY LT P PKC.03236.03.002.05             6235.65-         0.465 QAFISG       23.04.2018 20.0
  4801028125 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03339.01.004.01.01         66718.70-         0.710 QAOVER       05.07.2018 30.0
  4801028141 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03218.04                    4813.78-         0.051 MAMACP       27.06.2018 28.0
  4801028142 /    1  ECAP  800000     103637     REMAC FIRE SAFETY                   P PKC.03218.04                    2354.90-         0.024 MAMACP       14.08.2018 30.0
  4801028171 /    3  ECAP  800000     104465     ALL CONSTRUCTION ENGINEERING PTY LT P PKC.03295.02.002                 330.00-         1.000 MA9CHAV      16.04.2018 09.0
  4801028171 /    5  ECAP  800000     104465     ALL CONSTRUCTION ENGINEERING PTY LT P PKC.03295.02.002                 480.00-         2.000 MA9CHAV      11.05.2018 20.0
  4801028173 /    1  ECAP  800000     115867     INGLIS ENGINEERING                  P PKC.03296.03                       9.90-         0.009 MA9CHAV      10.12.2018 07.0
  4801028184 /    1  ECAP  800000     103049     PETER ELLSMORE AND ASSOCIATES PTY L P PKC.03193.20.070                 300.00-         1.000 MAGUEL       29.06.2018 23.0
  4801028185 /    4  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03193.40.020                   0.95-         0.001 MAGUEL       28.02.2018 19.0
  4801028185 /    9  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03193.40.020                 888.64-         0.367 MAGUEL       29.06.2018 19.0
  4801028185 /   11  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03193.40.020                4381.42-         0.117 MAGUEL       31.03.2018 08.0
  4801028190 /   12  ECAP  800000     102000     NEBO MECHANICAL ENGINEERS PL        P PKC.03293.99                   11553.20-         1.000 MAROBP       31.01.2019 08.0
  4801028205 /    2  ECAP  800000     107831     USE 116919 FASTRON TECHNOLOGIES PTY P PKC.03271.03                      40.00-         1.000 CUGALYP9     17.04.2018 06.0
  4801028271 /    1  ECAP  800000     115859     JOHN RILEY INSULATIONS E & R PTY LT P PKC.03265.03.004               10000.00-         1.000 QAOVER       30.04.2018 14.0
  4801028300 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03312.04                    1413.09-         0.033 MAZOUM       21.03.2018 04.0
  4801028367 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03276.04                     723.91-         1.000 MA9GART1     16.04.2018 21.0
  4801028369 /    3  ECAP  800000     103662     COATES HIRE                         P PKC.03358.02                       0.90-         0.001 QAOVER       18.10.2018 02.0
  4801028375 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03265.03.006                  67.00-         0.067 QAOVER       26.04.2018 22.0
  4801028395 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.02969.01.003               19365.95-         0.279 QACROG       10.04.2018 24.0
  4801028399 /    3  ECAP  800000     104504     REXEL INDUSTRIAL AUTOMATION         P PKC.03386.01.002                  25.00-         0.000 MA9EXC       06.03.2018 07.0
  4801028426 /    1  ECAP  800000     102596     ABB AUSTRALIA PTY LTD               P PKC.03173.03.002                  30.07-         0.001 MABROR       06.03.2018 02.0
  4801028458 /    9  ECAP  800000     102782     I OPEN PTY LTD                      P PKC.03284.30.001                  25.00-         1.000 TRINCAP9     31.05.2018 30.0
  4801028466 /    2  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03209.40.010.30              379.42-         0.007 MAKIOJ       21.08.2018 31.0
  4801028473 /    2  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03265.03.008                3252.16-         0.133 QAOVER       21.03.2018 16.0
  4801028493 /    1  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.20.002.10              384.00-         0.020 MASMIM       03.07.2018 02.0
  4801028493 /    2  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.20.002.10            13305.60-         0.432 MASMIM       23.11.2018 31.0
  4801028493 /    4  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.20.002.10              400.00-         0.008 MASMIM       07.02.2019 30.0
  4801028493 /    5  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.20.002.10            21550.00-         0.001 MASMIM       28.02.2019 31.0
  4801028543 /    1  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03284.20.002                 278.52-         2.321 MAZOUM       28.06.2018 27.0
  4801028560 /    5  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03232.50.700               74778.14-         0.273 MAPERW       11.02.2019 28.0
  4801028600 /    1  ECAP  800000     102645     L&H GROUP                           P PKC.03381.01                       9.38-         0.001 MAZMID       17.08.2018 14.0
  4801028611 /    4  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03403.03                   10634.00-         0.000 MAMCDI       15.02.2019 14.0
  4801028611 /    5  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03403.01                   10634.00-         1.000 MABALS1      15.02.2019 13.0
  4801028630 /    1  ECAP  800000     103462     VEOLIA ENV SERV INDUSTRIAL CLEANING P PKC.02963.01.040                2709.89-         0.290 MAGLAG       30.03.2018 08.0
  4801028644 /    3  ECAP  800000     111863     BORGER CRANE HIRE & RIGGING SERVICE P PKC.03279.04                      51.50-         0.008 MAALLC2      08.05.2018 16.0
  4801028657 /    6  ECAP  800000     115316     NATIONAL INSTRUMENTS AUSTRALIA PTY  P PKC.03399.01.003.01              170.00-         0.000 QAFISG       12.04.2019 30.0
  4801028658 /   23  ECAP  800000     102782     I OPEN PTY LTD                      P PKC.03025.01.001                  25.00-         1.000              25.05.2018 16.0
  4801028659 /    1  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03193.40.050                3922.94-         1.000 MAWATB2      28.03.2018 19.0
  4801028666 /    1  ECAP  800000     103276     ALLFAB CONSTRUCTIONS PTY LTD        P PKC.03276.04                    7073.00-         1.000 MA9GART1     31.03.2018 22.0
  4801028668 /    1  ECAP  800000     103276     ALLFAB CONSTRUCTIONS PTY LTD        P PKC.03276.04                      32.28-         0.001 MA9GART1     31.03.2018 22.0
  4801028711 /    1  ECAP  800000     109369     PROJECT PORTFOLIO MANAGEMENT IND PL P PKC.03265.01.003                 123.20-         0.002 QAOVER       11.05.2018 31.0
  4801028730 /    2  ECAP  800000     109369     PROJECT PORTFOLIO MANAGEMENT IND PL P PKC.03398.20.001.01             8700.00-         0.087 MASMIM       22.06.2018 29.0
  4801028816 /    1  ECAP  800000     201768     DANIELI CO LTD                      P PKC.03257.01                  198934.22-         2.000 MAMAYL1      13.11.2018 12.0
  4801028816 /    2  ECAP  800000     201768     DANIELI CO LTD                      P PKC.03257.01                   81957.07-         1.000 MAMAYL1      13.11.2018 11.1
  4801028816 /    3  ECAP  800000     201768     DANIELI CO LTD                      P PKC.03257.01                  100366.85-         1.000 MAMAYL1      13.11.2018 12.0
  4801028843 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03218.04                     672.00-         0.007 MAMACP       05.12.2018 30.0
  4801028844 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03422.04                     672.00-         0.007 MAMACP       01.02.2019 31.0
  4801028845 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03422.04                     196.69-         0.002 MAMACP       13.09.2018 30.0
  4801028860 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                   17874.00-         0.000 MAZUZJ       12.02.2019 15.0
  4801028860 /    2  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                    6415.56-         0.147 MAZUZJ       12.02.2019 15.0
  4801028860 /    3  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                    4505.60-         0.108 MAZUZJ       30.05.2018 09.0
  4801028895 /    1  ECAP  800000     202361     ALPINE METAL TECH GERMANY GMBH      P PKC.03166.40.006                 210.79-         0.001 MAMAYL1      29.08.2018 08.0
  4801028898 /    1  ECAP  800000     102000     NEBO MECHANICAL ENGINEERS PL        P PKC.03287.02                      98.00-         0.014 MAROBP       24.04.2018 13.0
  4801028899 /    1  ECAP  800000     102000     NEBO MECHANICAL ENGINEERS PL        P PKC.03281.02                   13068.00-         0.726 MAROBP       29.05.2018 13.0
  4801028936 /    1  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03398.30.001.03              794.48-         0.004 MASMIM       17.12.2018 27.0
  4801028940 /    1  ECAP  800000     116724     TOLHURST ENGINEERING PTY LTD        P PKC.03284.20.001                 660.00-         5.500 MAZOUM       24.09.2018 29.0
  4801028944 /    1  ECAP  800000     113860     INDUSTRIAL MONITORING & CONTROL PTY P PKC.03398.30.001.01            10917.99-         0.081 MASMIM       10.01.2019 07.0
  4801028977 /    1  ECAP  800000     107712     LABORATORY SYSTEMS GROUP PTY LTD    P PKC.03424.01                   41302.40-         0.500 MAOOSN       22.06.2018 25.0
  4801028985 /    2  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03279.03                     159.30-         0.091 MAALLC2      23.04.2018 14.0
  4801028990 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03023.03                     960.26-         0.091 MAALLC2      03.05.2018 09.0
  4801029002 /    2  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03285.04                    3087.40-         1.000 MABROGW      29.05.2018 04.0
  4801029019 /    3  ECAP  800000     103254     DXC TECHNOLOGY AUSTRALIA PTY LTD    P PKC.03209.20.010.61              280.00-         0.007 MAKIOJ       27.08.2018 27.0
  4801029048 /    1  ECAP  800000     103254     DXC TECHNOLOGY AUSTRALIA PTY LTD    P PKC.03357.40.020               27078.09-         0.604 MARAWD       20.06.2018 31.0
  4801029061 /    1  ECAP  800000     114192     CHEMCO SPECIALTY COATINGS AUSTRALIA P PKC.03289.03                    3915.00-         0.500 MABANP       30.01.2019 31.0
  4801029061 /    2  ECAP  800000     114192     CHEMCO SPECIALTY COATINGS AUSTRALIA P PKC.03289.03                    8172.50-         0.250 MABANP       30.01.2019 31.0
  4801029128 /    2  ECAP  800000     104186     APPLIED INDUSTRIAL TECHNOLOGIES PTY P PKC.03378.01                       5.00-         1.000 MA9CHAV      15.08.2018 15.0
  4801029132 /    1  ECAP  800000     103959     COASTAL HYDRAULICS & PNEUMATIC SERV P PKC.03279.03                    9192.00-         0.400 MAALLC2      27.06.2018 31.0
  4801029132 /    2  ECAP  800000     103959     COASTAL HYDRAULICS & PNEUMATIC SERV P PKC.03279.03                     168.00-         0.400 MAALLC2      27.06.2018 17.0
  4801029142 /    1  ECAP  800000     103254     DXC TECHNOLOGY AUSTRALIA PTY LTD    P PKC.03398.30.001.06            13040.00-         0.326 MASMIM       22.06.2018 30.0
  4801029142 /    2  ECAP  800000     103254     DXC TECHNOLOGY AUSTRALIA PTY LTD    P PKC.03398.30.001.06             1560.00-         0.013 MASMIM       03.12.2018 31.1
  4801029143 /    1  ECAP  800000     102493     CRAM FLUID POWER PTY LTD            P PKC.03398.30.010.03            19410.00-         0.000 MATOWC       14.06.2018 28.0
  4801029158 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03398.30.010.07             6000.00-         1.000 MASMIM       29.06.2018 07.0
  4801029158 /    2  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03398.30.010.07             7385.00-         0.211 MASMIM       29.06.2018 29.0
  4801029189 /    1  ECAP  800000     104627     BLACKWOODS                          P PKC.03290.03                       9.49-         0.005 MAKAIA       27.06.2018 11.0
  4801029281 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03437.01                      11.86-         0.002 MAPEAS1      15.10.2018 31.0
  4801029298 /    1  ECAP  800000     108556     SEW EURODRIVE PTY LTD (TULLAMARINE) P PKC.03278.03                      85.23-         0.007 MALAAJ       20.06.2018 14.0
  4801029321 /    1  ECAP  800000     104115     SNARE FABRICATIONS PTY LTD          P PKC.03287.03                   52130.00-         1.000 MABANP       28.06.2018 06.0
  4801029352 /    6  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.40.020.01               10.00-         0.001 MASMIM       04.12.2018 31.0
  4801029356 /    2  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03398.40.030.01               12.00-         0.003 MASMIM       17.12.2018 29.0
  4801029371 /    1  ECAP  800000     103652     MCCOLL ENGINEERING PTY LTD          P PKC.03216.03                   98900.00-        10.000 MAOCOS       14.11.2018 16.1
  4801029379 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.02835.15                     580.70-         0.041 MALITD       22.05.2018 08.0
  4801029379 /    2  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.02835.90                    1086.78-         1.000 MALITD       01.02.2019 01.0
  4801029387 /    1  ECAP  800000     103462     VEOLIA ENV SERV INDUSTRIAL CLEANING P PKC.02963.01.050                2945.08-         0.350 MALEAD       31.05.2018 18.0
  4801029389 /    1  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                1276.00-         2.000 MASCHI       22.06.2018 22.0
  4801029389 /    2  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                 638.00-         1.000 MASCHI       22.06.2018 22.0
  4801029389 /    3  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                1242.04-         2.000 MASCHI       22.06.2018 22.0
  4801029389 /    4  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                1333.23-         1.000 MASCHI       22.06.2018 22.0
  4801029389 /    5  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                2484.08-         4.000 MASCHI       22.06.2018 22.0
  4801029389 /    6  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                2666.45-         2.000 MASCHI       22.06.2018 22.0
  4801029389 /    7  ECAP  800000     202182     ATHADER S L                         P PKC.02963.01.030                2641.30-         1.000 MASCHI       22.06.2018 22.0
  4801029438 /    1  ECAP  800000     105910     BROADSPECTRUM PROJECT SERVICES PTY  P PKC.03424.01                    3928.40-         0.000 MARAND       29.11.2018 25.0
  4801029441 /    2  ECAP  800000     103166     EXCELL CONTROL PTY LTD              P PKC.03130.01.003                 194.40-         8.000 MA9ROSM      12.09.2018 01.0
  4801029461 /    2  ECAP  800000     110332     MAGELLAN POWERTRONICS PTY LTD       P PKC.03446.30.100                1850.92-         1.000 MABATA       18.09.2018 07.0
  4801029465 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.02969.01.004               18873.00-         1.000 QACROG       29.06.2018 22.0
  4801029465 /    2  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.02969.01.004                1910.00-         1.000 QACROG       29.06.2018 22.0
  4801029475 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03285.04                      30.02-         0.001 MAZOUM       24.07.2018 10.0
  4801029476 /    1  ECAP  800000     102000     NEBO MECHANICAL ENGINEERS PL        P PKC.03286.02                    2282.28-         0.364 MAKOLJ       20.11.2018 29.0
  4801029547 /    6  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03445.40.100                  16.58-         0.001 UKSMIS       27.08.2018 24.1
  4801029575 /    1  ECAP  800000     103283     ALLMEN INDUSTRIAL SERVICES PTY LTD  P PKC.03398.30.001.04             6009.13-         0.461 MASMIM       22.06.2018 22.0
  4801029591 /    6  ECAP  800000     102352     SICK PTY LTD                        P PKC.03386.01.002                  18.50-         1.000              15.06.2018 18.0
  4801029604 /    2  ECAP  800000     103166     EXCELL CONTROL PTY LTD              P PKC.03130.01.003                  20.00-         1.000 MA9ROSM      14.06.2018 08.0
  4801029613 /    2  ECAP  800000     103653     ARA ELECTRICAL ENGINEERING SERVICES P PKC.03284.40                    7226.56-         1.000 MAZOUM       27.02.2019 28.0
  4801029613 /    3  ECAP  800000     103653     ARA ELECTRICAL ENGINEERING SERVICES P PKC.03284.40                    1164.24-         1.000 MAZOUM       27.02.2019 28.0
  4801029613 /    4  ECAP  800000     103653     ARA ELECTRICAL ENGINEERING SERVICES P PKC.03284.40                     748.00-         1.000 MAZOUM       27.02.2019 28.0
  4801029613 /    5  ECAP  800000     103653     ARA ELECTRICAL ENGINEERING SERVICES P PKC.03284.40                     847.44-         1.000 MAZOUM       27.02.2019 28.0
  4801029616 /    1  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03218.04                   41450.00-         0.829 MAMACP       28.06.2018 30.0
  4801029617 /    1  ECAP  800000     101863     CLEANAWAY INDUSTRIAL SOLUTIONS PTY  P PKC.03218.04                   36200.00-         0.724 MAMACP       23.10.2018 30.0
  4801029624 /    1  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03325.07                  236937.00-         4.000 MAALLC2      21.12.2018 02.1
  4801029624 /    2  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03325.07                    2568.75-         6.000 MAALLC2      14.11.2018 02.1
  4801029624 /    3  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03325.07                    1443.75-         6.000 MAALLC2      14.11.2018 02.1
  4801029663 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03209.40.010.20            31060.19-         0.079 MAKIOJ       28.09.2018 28.0
  4801029663 /    2  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03209.40.010.20            18446.36-         0.480 MAKIOJ       29.11.2018 15.1
  4801029702 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03367.04                  125750.40-         0.200 MALAAJ       17.01.2019 02.1
  4801029702 /    6  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03367.04                    8156.84-         0.399 MALAAJ       20.12.2018 04.0
  4801029703 /    1  ECAP  800000     105891     PERFORMANCE ENGINEERING GRP         P PKC.03397.01                   26580.96-         0.112 MACOMT       19.06.2018 21.1
  4801029723 /    3  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03459.40                   15845.62-         0.518 MALITD       22.10.2018 28.0
  4801029723 /    7  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03459.40                    2084.64-         0.808 MALITD       29.11.2018 30.1
  4801029724 /    1  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03206.04.001               24313.54-         0.117 MA9YOUR1     20.02.2019 31.1
  4801029724 /    2  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03206.04.001                5500.00-         0.550 MA9YOUR1     07.02.2019 31.1
  4801029724 /    3  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03483.06.001               15860.00-         0.100 MAFAUM       07.02.2019 31.1
  4801029730 /    3  ECAP  800000     111863     BORGER CRANE HIRE & RIGGING SERVICE P PKC.03265.03.011                7000.00-         1.000 QAOVER       04.07.2018 18.0
  4801029735 /    1  ECAP  800000     104424     INTEGRITY PUMPS & ENGINEERING       P PKC.03218.03                   27500.00-         1.000 MALUCS2      09.10.2018 19.0
  4801029745 /    1  ECAP  800000     115867     INGLIS ENGINEERING                  P PKC.03426.01                       0.27-         0.001 MA9CHIM1     12.10.2018 19.0
  4801029752 /    1  ECAP  800000     103276     ALLFAB CONSTRUCTIONS PTY LTD        P PKC.03282.04                      36.85-         0.001 MA9GART1     30.08.2018 30.0
  4801029754 /    4  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03288.03                      94.04-         0.063 MABROGW      27.06.2018 20.0
  4801029758 /    1  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03166.40.005               12037.55-         0.226 MAMAYL1      20.12.2018 31.0
  4801029803 /    1  ECAP  800000     115876     GLAISTER ENGINEERING CONSULTANTS    P PKC.03233.01.010                 730.00-         0.037 MASCHI       13.09.2018 30.0
  4801029821 /    1  ECAP  800000     104597     CMA ELECTRO HYDRAULIC ENGINEERS     P PKC.03340.03                   10080.00-         5.000 MACARL1      14.11.2018 30.1
  4801029821 /    2  ECAP  800000     104597     CMA ELECTRO HYDRAULIC ENGINEERS     P PKC.03340.03                    4440.00-         5.000 MACARL1      23.07.2018 30.1
  4801029821 /    3  ECAP  800000     104597     CMA ELECTRO HYDRAULIC ENGINEERS     P PKC.03340.03                    1220.03-         7.000 MACARL1      23.07.2018 20.1
  4801029825 /    1  ECAP  800000     111474     FLSMIDTH PTY LTD                    P PKC.03464.01                  456925.00-         0.700 MA9KOVG      28.02.2019 04.0
  4801029827 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                    3284.40-         0.150 MAZUZJ       08.10.2018 10.0
  4801029841 /    1  ECAP  800000     101810     NORBAR TORQUE TOOLS PTY LTD         P PKC.03260.01                   10028.00-         4.000 MA9CHAV      10.08.2018 25.0
  4801029841 /    2  ECAP  800000     101810     NORBAR TORQUE TOOLS PTY LTD         P PKC.03260.01                     100.00-         1.000 MA9CHAV      10.08.2018 25.0
  4801029864 /    1  ECAP  800000     102493     CRAM FLUID POWER PTY LTD            P PKC.03286.03                   24059.00-         1.000 MA9MARJ      29.06.2018 31.0
  4801029867 /    3  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03255.12                     823.69-         0.677 MA9ETLI      24.07.2018 29.0
  4801029886 /    3  ECAP  800000     116923     APS INDUSTRIAL PTY LTD              P PKC.03209.30.020.20               20.00-         1.000 MAKIOJ       04.07.2018 06.0
  4801029895 /    1  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03158.01                   12798.61-         0.157 QAOVER       12.12.2018 02.0
  4801029909 /    1  ECAP  800000     114364     NALCO AUSTRALIA (PK ONLY)           P PKC.03468.30.010                4559.00-         1.000 QAWELK       20.07.2018 20.0
